city,local,total_price,unit_price,layout,area,floor,time
北京,朝阳,1000.0,38397,6室2厅,260.44,41.0,2020-07-23
苏州,工业园区,755.0,74312,2室2厅,101.6,25.0,2020-01-12
苏州,工业园区,288.0,32888,3室2厅,87.57,12.0,2020-05-17
苏州,吴中,149.0,23558,2室2厅,63.25,5.0,2020-08-12
苏州,昆山,338.0,18032,5室2厅,187.45,6.0,2020-07-26
苏州,吴江,195.0,22649,3室2厅,86.1,32.0,2021-02-19
苏州,高新,460.0,51530,3室1厅,89.27,18.0,2021-03-19
苏州,姑苏,68.0,11747,2室1厅,57.89,20.0,2020-03-18
苏州,昆山,174.0,21607,2室1厅,80.53,22.0,2021-03-19
北京,昌平,375.0,55196,2室1厅,67.94,6.0,2021-03-12
苏州,工业园区,600.0,68128,3室1厅,88.07,27.0,2020-11-27
苏州,相城,1200.0,37701,5室2厅,318.3,2.0,2021-03-30
苏州,昆山,213.0,24913,3室2厅,85.5,33.0,2020-11-02
北京,通州,233.0,38653,2室1厅,60.28,6.0,2021-03-26
苏州,高新,166.6,21256,2室2厅,78.38,11.0,2020-11-13
苏州,姑苏,173.0,21789,3室1厅,79.4,6.0,2020-12-09
苏州,姑苏,185.0,22905,2室1厅,80.77,16.0,2021-03-11
苏州,昆山,229.0,16938,3室2厅,135.2,18.0,2021-03-15
苏州,吴中,247.0,25378,3室2厅,97.33,17.0,2021-02-20
南京,溧水,44.0,4973,2室1厅,88.49,6.0,2021-01-06
苏州,高新,170.0,18557,3室2厅,91.61,20.0,2021-03-07
苏州,吴江,205.0,22768,3室2厅,90.04,34.0,2021-03-21
苏州,昆山,171.0,21966,3室1厅,77.85,11.0,2020-12-06
苏州,姑苏,140.0,22691,2室1厅,61.7,6.0,2021-03-31
北京,海淀,698.0,99008,2室1厅,70.5,17.0,2021-03-24
北京,丰台,700.0,88440,2室1厅,79.15,20.0,2021-03-23
上海,浦东,700.0,137742,2室1厅,50.82,6.0,2021-03-28
南京,浦口,332.0,29734,3室2厅,111.66,28.0,2021-03-12
苏州,姑苏,118.0,24507,2室1厅,48.15,6.0,2021-03-28
苏州,高新,426.0,30418,3室2厅,140.05,18.0,2021-03-18
苏州,工业园区,388.0,31545,3室2厅,123.0,9.0,2020-02-29
苏州,高新,185.0,22561,3室2厅,82.0,16.0,2021-02-06
苏州,昆山,175.0,23027,2室1厅,76.0,18.0,2021-03-06
苏州,吴江,425.0,27944,4室2厅,152.09,6.0,2021-03-24
苏州,昆山,141.2,22571,2室2厅,62.56,30.0,2021-03-25
北京,朝阳,878.0,65911,3室1厅,133.21,28.0,2021-03-31
苏州,工业园区,685.0,50368,4室1厅,136.0,18.0,2019-09-10
上海,虹口,525.0,54586,2室2厅,96.18,5.0,2020-12-30
苏州,工业园区,125.0,26796,2室0厅,46.65,6.0,2020-12-17
上海,杨浦,330.0,77338,1室1厅,42.67,7.0,2021-03-16
苏州,昆山,175.0,16356,3室2厅,107.0,26.0,2021-03-15
苏州,高新,459.0,43715,3室2厅,105.0,6.0,2021-03-17
北京,海淀,935.0,106432,2室2厅,87.85,18.0,2021-03-29
苏州,工业园区,516.0,41280,4室1厅,125.0,18.0,2021-01-31
苏州,工业园区,167.0,26013,3室1厅,64.2,6.0,2021-01-17
北京,房山,229.0,29025,2室1厅,78.9,6.0,2021-03-19
北京,丰台,473.0,52093,2室1厅,90.8,18.0,2021-03-08
苏州,昆山,267.0,19884,4室2厅,134.28,28.0,2020-10-19
苏州,昆山,203.0,19507,3室2厅,104.07,5.0,2020-11-27
苏州,工业园区,298.0,33665,1室2厅,88.52,30.0,2021-03-14
苏州,昆山,223.0,25621,3室1厅,87.04,18.0,2021-03-19
北京,大兴,401.0,47501,2室1厅,84.42,6.0,2021-03-01
成都,郫都,105.0,12139,2室1厅,86.5,25.0,2021-03-22
北京,大兴,650.0,60948,3室2厅,106.65,9.0,2020-11-18
苏州,姑苏,258.0,27615,3室2厅,93.43,21.0,2021-02-19
上海,徐汇,599.0,72536,2室2厅,82.58,7.0,2021-02-19
南京,浦口,152.0,17567,2室1厅,86.53,32.0,2020-08-11
苏州,相城,138.0,14791,2室1厅,93.3,17.0,2021-03-31
北京,朝阳,389.0,60041,1室1厅,64.79,14.0,2021-03-14
北京,朝阳,948.0,63083,3室2厅,150.28,22.0,2020-12-26
苏州,吴江,276.0,13170,5室2厅,209.57,18.0,2020-07-29
南京,浦口,65.0,16667,1室1厅,39.0,11.0,2021-04-01
北京,海淀,650.0,138889,1室1厅,46.8,17.0,2021-04-01
南京,江宁,225.0,26115,2室2厅,86.16,5.0,2021-03-19
北京,石景山,565.0,62452,2室1厅,90.47,24.0,2021-03-21
南京,栖霞,375.0,39612,2室2厅,94.67,11.0,2020-12-27
北京,昌平,510.0,52556,2室1厅,97.04,20.0,2020-11-17
北京,海淀,950.0,79967,2室2厅,118.8,19.0,2021-03-27
北京,大兴,259.0,41634,2室1厅,62.21,6.0,2021-03-21
上海,宝山,315.0,42875,2室1厅,73.47,18.0,2021-02-22
上海,徐汇,560.0,79041,2室1厅,70.85,18.0,2021-02-20
苏州,相城,115.0,18564,2室1厅,61.95,10.0,2021-02-22
北京,朝阳,1550.0,78430,3室2厅,197.63,26.0,2021-04-03
南京,浦口,189.0,21446,2室2厅,88.13,11.0,2021-03-24
北京,海淀,790.0,80728,2室1厅,97.86,19.0,2021-03-17
南京,建邺,435.0,28138,4室3厅,154.6,6.0,2021-03-23
苏州,昆山,46.0,9310,2室2厅,49.41,21.0,2021-03-10
苏州,吴江,215.0,24432,3室2厅,88.0,34.0,2021-03-21
南京,建邺,525.0,60659,3室1厅,86.55,33.0,2021-03-28
上海,普陀,435.0,58689,3室1厅,74.12,6.0,2021-01-26
北京,海淀,395.0,78064,2室1厅,50.6,6.0,2021-03-14
北京,丰台,288.0,59090,2室1厅,48.74,6.0,2021-03-10
上海,徐汇,443.0,105502,1室1厅,41.99,6.0,2021-03-15
北京,丰台,360.0,60495,1室1厅,59.51,10.0,2021-03-21
南京,浦口,238.0,26581,3室2厅,89.54,26.0,2021-01-24
北京,昌平,368.0,50226,2室1厅,73.27,21.0,2020-12-05
北京,东城,475.0,99874,1室1厅,47.56,6.0,2021-03-13
北京,朝阳,322.0,75962,1室1厅,42.39,18.0,2020-09-02
北京,昌平,419.0,41445,2室1厅,101.1,6.0,2021-01-04
北京,朝阳,328.0,44687,2室1厅,73.4,28.0,2021-01-26
北京,海淀,860.0,120957,3室1厅,71.1,10.0,2021-03-24
北京,海淀,829.0,127148,2室1厅,65.2,5.0,2021-03-18
北京,朝阳,725.0,90989,3室1厅,79.68,22.0,2021-03-13
北京,通州,432.0,49372,2室1厅,87.5,27.0,2021-02-22
苏州,吴中,233.0,25089,3室2厅,92.87,34.0,2020-11-02
苏州,昆山,223.0,25393,3室2厅,87.82,32.0,2020-12-10
北京,昌平,130.0,26827,2室1厅,48.46,5.0,2021-03-18
北京,海淀,585.0,130610,2室1厅,44.79,6.0,2021-03-21
南京,建邺,450.0,47449,2室2厅,94.84,18.0,2021-03-30
北京,大兴,450.0,45204,2室2厅,99.55,11.0,2021-03-17
北京,通州,438.0,44558,2室2厅,98.3,11.0,2021-01-11
苏州,昆山,190.0,18701,3室2厅,101.6,18.0,2021-03-28
北京,大兴,205.0,31284,2室1厅,65.53,6.0,2021-03-12
苏州,昆山,323.0,25440,4室2厅,126.97,26.0,2021-01-01
上海,长宁,350.0,70836,1室1厅,49.41,6.0,2021-03-25
南京,浦口,153.0,16806,2室2厅,91.04,27.0,2020-07-17
上海,松江,680.0,52462,3室2厅,129.62,11.0,2021-02-25
南京,建邺,290.0,37396,3室1厅,77.55,7.0,2021-03-28
南京,栖霞,650.0,45411,4室2厅,143.14,8.0,2021-02-22
北京,西城,2350.0,177950,3室1厅,132.06,19.0,2021-03-09
南京,浦口,220.0,21360,3室2厅,103.0,33.0,2021-03-03
南京,浦口,187.0,20106,2室1厅,93.01,26.0,2021-03-27
上海,奉贤,115.0,12716,3室2厅,90.44,4.0,2019-11-29
上海,普陀,1310.0,111083,2室2厅,117.93,30.0,2021-03-06
上海,浦东,910.0,70179,3室2厅,129.67,22.0,2021-02-18
南京,秦淮,475.0,35947,3室2厅,132.14,26.0,2020-05-05
南京,六合,99.0,16230,2室1厅,61.0,6.0,2021-03-30
南京,雨花台,175.0,25503,2室2厅,68.62,26.0,2020-08-14
上海,闵行,318.0,75535,1室1厅,42.1,6.0,2021-02-22
南京,鼓楼,220.0,49240,2室1厅,44.68,7.0,2021-03-29
南京,鼓楼,351.0,60875,2室1厅,57.66,7.0,2021-02-19
北京,通州,459.0,45076,2室2厅,101.83,7.0,2021-03-13
上海,浦东,465.0,64307,2室1厅,72.31,6.0,2021-01-03
上海,松江,450.0,48639,2室2厅,92.52,14.0,2021-03-21
上海,宝山,320.0,52701,2室1厅,60.72,6.0,2021-03-29
南京,浦口,237.0,19491,3室1厅,121.6,11.0,2020-12-12
南京,建邺,426.0,39706,3室1厅,107.29,11.0,2021-01-03
上海,宝山,515.0,49029,3室2厅,105.04,6.0,2021-01-27
南京,建邺,610.0,64674,3室1厅,94.32,32.0,2020-11-08
南京,秦淮,321.0,30181,3室2厅,106.36,7.0,2020-08-24
上海,浦东,620.0,63253,2室1厅,98.02,11.0,2021-03-11
南京,江宁,363.0,25795,3室2厅,140.73,11.0,2021-03-20
北京,东城,450.0,77187,2室1厅,58.3,21.0,2020-03-17
成都,成华,130.0,16710,2室1厅,77.8,18.0,2021-03-11
上海,宝山,498.0,67471,2室1厅,73.81,6.0,2021-03-07
南京,建邺,552.0,62170,2室2厅,88.79,18.0,2021-02-18
北京,朝阳,1200.0,83917,3室2厅,143.0,18.0,2020-12-19
南京,鼓楼,430.0,72330,2室1厅,59.45,28.0,2020-05-15
北京,丰台,656.0,66769,3室1厅,98.25,9.0,2020-07-12
成都,都江堰,64.0,6869,3室1厅,93.18,6.0,2021-03-31
南京,秦淮,200.0,29253,2室1厅,68.37,6.0,2021-03-23
北京,石景山,280.0,45293,2室1厅,61.82,11.0,2021-03-25
南京,鼓楼,490.0,69573,2室1厅,70.43,7.0,2021-03-07
南京,浦口,237.0,20679,3室1厅,114.61,11.0,2021-04-02
南京,鼓楼,103.0,26143,1室1厅,39.4,19.0,2021-03-14
北京,朝阳,312.0,44338,2室1厅,70.37,29.0,2021-01-13
北京,朝阳,708.0,97777,2室1厅,72.41,20.0,2021-03-05
上海,浦东,780.0,65896,3室2厅,118.37,21.0,2021-01-29
苏州,姑苏,140.0,23334,2室1厅,60.0,5.0,2021-03-21
苏州,昆山,355.0,30604,3室2厅,116.0,34.0,2020-05-11
成都,成华,97.0,16855,2室2厅,57.55,18.0,2021-01-02
南京,鼓楼,280.0,70405,1室1厅,39.77,7.0,2021-03-23
上海,浦东,372.0,44344,3室2厅,83.89,6.0,2021-01-10
南京,江宁,298.0,26777,3室1厅,111.29,16.0,2021-02-28
苏州,工业园区,685.0,57564,3室2厅,119.0,9.0,2021-02-19
南京,江宁,350.0,29297,4室2厅,119.47,18.0,2021-03-04
南京,浦口,255.0,21915,3室2厅,116.36,18.0,2021-02-27
北京,石景山,358.0,47893,2室1厅,74.75,16.0,2021-01-11
上海,徐汇,335.0,68270,1室1厅,49.07,6.0,2021-03-26
北京,海淀,392.0,71927,2室1厅,54.5,6.0,2021-03-13
南京,江宁,259.0,28506,3室1厅,90.86,18.0,2021-02-27
上海,奉贤,100.0,20455,2室1厅,48.89,5.0,2020-09-30
南京,江宁,279.0,32259,2室1厅,86.49,18.0,2021-03-08
南京,江宁,255.0,20239,3室2厅,126.0,7.0,2021-03-29
南京,鼓楼,300.0,41346,2室1厅,72.56,7.0,2021-02-23
南京,鼓楼,169.8,33295,2室1厅,51.0,7.0,2021-02-05
苏州,吴中,198.0,20731,3室2厅,95.51,30.0,2021-03-17
成都,温江,125.0,14142,3室2厅,88.39,6.0,2020-10-28
成都,武侯,55.9,9663,1室0厅,57.85,7.0,2021-03-31
上海,浦东,310.0,41066,2室1厅,75.49,14.0,2021-02-04
上海,松江,510.0,34528,3室2厅,147.71,6.0,2021-03-21
南京,六合,85.5,19000,1室1厅,45.0,6.0,2021-04-02
南京,建邺,248.0,27769,3室2厅,89.31,34.0,2020-09-07
成都,郫都,105.0,11412,3室2厅,92.01,25.0,2021-03-31
北京,大兴,369.0,41686,2室2厅,88.52,16.0,2021-02-01
南京,浦口,205.0,19712,3室2厅,104.0,11.0,2020-05-21
苏州,昆山,185.0,20442,3室2厅,90.5,30.0,2021-03-28
上海,奉贤,275.0,31977,3室2厅,86.0,18.0,2021-03-09
南京,浦口,192.0,21139,2室2厅,90.83,11.0,2021-03-31
上海,浦东,380.0,64440,2室1厅,58.97,6.0,2021-02-23
南京,秦淮,224.0,36830,2室1厅,60.82,7.0,2021-02-23
上海,虹口,169.0,51969,1室0厅,32.52,6.0,2021-03-07
成都,金牛,112.0,12680,2室2厅,88.33,18.0,2020-09-07
北京,朝阳,323.0,48109,2室1厅,67.14,7.0,2019-06-15
北京,朝阳,370.0,54840,1室1厅,67.47,11.0,2021-03-26
南京,浦口,183.0,19388,2室2厅,94.39,11.0,2021-02-20
上海,杨浦,235.0,67724,1室1厅,34.7,6.0,2021-03-12
南京,雨花台,165.0,21095,2室1厅,78.22,11.0,2021-03-20
成都,青羊,254.0,38987,3室1厅,65.15,4.0,2021-03-25
南京,浦口,314.0,35833,3室2厅,87.63,34.0,2020-11-20
成都,温江,146.0,14577,3室2厅,100.16,29.0,2021-03-27
苏州,高新,410.0,29962,4室1厅,136.84,6.0,2021-01-27
上海,浦东,488.0,62758,3室2厅,77.76,6.0,2021-03-14
南京,雨花台,415.0,42886,3室2厅,96.77,27.0,2021-03-01
成都,新都,95.0,10134,3室2厅,93.75,33.0,2020-03-24
北京,丰台,920.0,66345,3室2厅,138.67,24.0,2021-03-07
南京,建邺,190.0,32941,2室1厅,57.68,7.0,2021-02-01
北京,大兴,406.0,47900,2室1厅,84.76,7.0,2021-03-26
北京,门头沟,308.0,38119,2室1厅,80.8,6.0,2020-12-31
上海,浦东,450.0,66726,2室1厅,67.44,6.0,2021-01-31
上海,闵行,1110.0,93743,2室2厅,118.41,13.0,2021-03-12
上海,青浦,340.0,51113,2室1厅,66.52,4.0,2021-03-28
苏州,昆山,498.0,39524,3室2厅,126.0,7.0,2021-03-20
北京,亦庄开发区,500.0,56180,3室1厅,89.0,18.0,2021-02-21
南京,六合,210.0,17356,3室2厅,121.0,18.0,2021-04-01
成都,天府新区,185.0,18143,4室2厅,101.97,6.0,2021-03-03
苏州,相城,233.0,23364,3室2厅,99.73,25.0,2020-12-12
南京,鼓楼,598.0,80463,2室1厅,74.32,9.0,2021-03-19
上海,闵行,450.0,66187,2室1厅,67.99,6.0,2021-02-28
成都,龙泉驿,192.0,19909,3室2厅,96.44,34.0,2021-03-30
成都,金牛,76.0,12527,1室1厅,60.67,12.0,2020-12-04
北京,丰台,725.0,56672,3室1厅,127.93,26.0,2021-01-05
苏州,相城,222.0,24396,3室2厅,91.0,30.0,2021-03-31
上海,闵行,921.0,79438,3室2厅,115.94,6.0,2021-02-22
成都,龙泉驿,145.0,11687,3室2厅,124.08,11.0,2020-08-24
上海,闵行,820.0,95784,2室2厅,85.61,7.0,2021-03-16
苏州,昆山,130.0,15056,2室2厅,86.35,5.0,2021-01-09
北京,朝阳,390.0,50395,2室1厅,77.39,23.0,2021-03-13
北京,朝阳,1260.0,86897,3室2厅,145.0,23.0,2021-02-01
成都,龙泉驿,149.0,16468,3室1厅,90.48,34.0,2021-03-31
南京,建邺,226.0,25334,3室1厅,89.21,24.0,2021-03-22
苏州,昆山,310.0,18344,4室2厅,169.0,3.0,2021-01-21
上海,宝山,360.0,49903,2室1厅,72.14,6.0,2021-03-29
上海,普陀,698.0,58504,3室2厅,119.31,6.0,2021-03-18
上海,浦东,205.0,44907,1室1厅,45.65,6.0,2021-03-06
南京,玄武,282.0,31054,2室1厅,90.81,6.0,2020-04-20
苏州,工业园区,219.0,26212,3室1厅,83.55,18.0,2021-03-10
南京,鼓楼,770.0,51720,4室2厅,148.88,18.0,2020-06-10
成都,武侯,153.0,17099,2室1厅,89.48,16.0,2021-03-18
成都,温江,94.0,10549,3室2厅,89.11,13.0,2020-12-12
北京,东城,535.0,62764,2室1厅,85.24,12.0,2021-04-02
成都,温江,330.0,15144,4室1厅,217.92,32.0,2021-03-01
上海,浦东,1700.0,117631,3室2厅,144.52,7.0,2021-03-21
南京,江宁,358.0,39528,3室2厅,90.57,32.0,2021-02-18
成都,新都,167.0,12838,4室1厅,130.09,33.0,2021-03-23
成都,成华,182.0,28372,2室1厅,64.15,32.0,2021-03-13
上海,虹口,589.0,69100,2室1厅,85.24,7.0,2020-11-09
上海,徐汇,286.0,67517,1室1厅,42.36,6.0,2021-03-11
北京,海淀,610.0,99837,2室1厅,61.1,6.0,2020-12-31
成都,武侯,210.0,21907,3室1厅,95.86,19.0,2021-03-31
上海,虹口,352.0,79855,2室0厅,44.08,6.0,2021-03-24
上海,金山,145.0,16733,2室2厅,86.66,6.0,2021-03-21
南京,建邺,220.0,26058,3室1厅,84.43,30.0,2021-03-26
成都,金牛,129.8,15340,3室2厅,84.62,18.0,2021-03-21
上海,嘉定,140.0,21365,2室1厅,65.53,5.0,2021-01-29
苏州,昆山,154.9,18419,2室2厅,84.1,11.0,2021-03-10
南京,建邺,189.0,34464,2室1厅,54.84,6.0,2021-03-31
南京,鼓楼,258.0,47506,2室1厅,54.31,7.0,2021-03-10
南京,建邺,530.0,60228,2室2厅,88.0,5.0,2020-09-02
北京,海淀,700.0,115398,1室1厅,60.66,17.0,2021-03-18
上海,嘉定,260.0,45210,2室1厅,57.51,6.0,2021-03-31
上海,松江,425.0,45339,3室2厅,93.74,5.0,2021-03-23
上海,浦东,365.0,58457,1室1厅,62.44,6.0,2020-08-20
上海,松江,345.0,42069,2室2厅,82.01,6.0,2021-03-07
成都,青羊,130.0,14905,2室1厅,87.22,7.0,2021-03-17
上海,嘉定,799.0,74375,2室2厅,107.43,14.0,2021-01-29
上海,浦东,850.0,64571,3室2厅,131.64,7.0,2021-03-10
南京,玄武,282.0,43776,3室1厅,64.42,5.0,2021-02-20
南京,江宁,295.0,38407,2室1厅,76.81,11.0,2020-12-18
上海,闵行,1250.0,90561,3室2厅,138.03,14.0,2021-03-15
南京,鼓楼,251.0,50841,2室1厅,49.37,7.0,2020-09-29
苏州,姑苏,153.0,23539,2室1厅,65.0,6.0,2020-11-27
成都,彭州,91.8,8505,3室2厅,107.94,32.0,2021-03-10
成都,金牛,158.0,18390,3室2厅,85.92,18.0,2020-10-04
上海,浦东,375.0,40142,3室2厅,93.42,11.0,2020-12-20
北京,昌平,369.0,41202,3室1厅,89.56,18.0,2019-11-23
上海,浦东,352.0,43080,2室2厅,81.71,12.0,2021-03-17
上海,闵行,285.0,72891,1室1厅,39.1,6.0,2021-03-05
上海,浦东,1750.0,147593,2室2厅,118.57,31.0,2021-01-03
南京,浦口,170.0,21854,2室2厅,77.79,16.0,2020-04-05
北京,房山,348.0,39234,3室1厅,88.7,18.0,2019-12-21
上海,宝山,500.0,77316,2室1厅,64.67,7.0,2021-03-06
南京,江宁,158.0,23760,2室1厅,66.5,6.0,2021-03-14
南京,建邺,173.0,31054,2室1厅,55.71,6.0,2020-11-09
成都,金牛,210.0,18029,4室2厅,116.48,18.0,2021-03-26
上海,闵行,395.0,47585,2室2厅,83.01,6.0,2021-03-28
成都,郫都,114.7,10388,3室2厅,110.42,18.0,2018-10-31
上海,普陀,508.0,70224,2室2厅,72.34,7.0,2021-02-28
上海,浦东,715.0,79401,2室2厅,90.05,18.0,2021-03-07
成都,金牛,289.0,20310,4室1厅,142.3,27.0,2021-03-23
上海,浦东,575.0,93269,1室2厅,61.65,18.0,2021-01-17
上海,浦东,260.0,28388,2室1厅,91.59,8.0,2021-03-28
成都,郫都,131.0,14682,3室1厅,89.23,30.0,2021-01-10
上海,松江,650.0,50388,3室2厅,129.0,12.0,2021-02-24
上海,普陀,396.0,54188,2室1厅,73.08,6.0,2021-03-13
上海,浦东,950.0,136514,3室1厅,69.59,6.0,2020-12-06
成都,天府新区,86.0,17023,1室1厅,50.52,11.0,2019-12-29
上海,宝山,908.0,71581,4室2厅,126.85,18.0,2021-02-06
成都,郫都,65.0,9091,2室1厅,71.5,22.0,2021-03-23
上海,静安,350.0,58933,2室1厅,59.39,6.0,2020-11-07
成都,成华,170.0,19487,2室1厅,87.24,18.0,2021-03-13
南京,鼓楼,495.0,85641,1室0厅,57.8,29.0,2021-03-04
上海,浦东,330.0,59664,1室2厅,55.31,6.0,2021-03-28
成都,金牛,55.0,9624,2室1厅,57.15,6.0,2020-05-30
成都,成华,139.5,16556,3室1厅,84.26,18.0,2021-03-14
成都,青羊,222.0,28484,2室1厅,77.94,18.0,2021-03-27
上海,徐汇,2150.0,138540,3室2厅,155.19,29.0,2021-03-06
苏州,高新,226.0,24992,3室2厅,90.43,18.0,2021-01-17
上海,浦东,669.0,61535,3室2厅,108.72,14.0,2021-04-01
成都,郫都,128.0,16234,3室1厅,78.85,33.0,2021-03-21
上海,徐汇,360.0,101039,1室1厅,35.63,6.0,2021-03-06
成都,武侯,208.0,11231,4室2厅,185.21,14.0,2020-07-09
成都,金牛,143.0,17213,2室1厅,83.08,31.0,2021-02-23
上海,奉贤,138.0,19740,2室1厅,69.91,6.0,2021-01-23
上海,宝山,380.0,43350,2室2厅,87.66,14.0,2021-02-21
南京,江宁,475.0,41431,3室2厅,114.65,33.0,2021-03-10
南京,雨花台,145.0,26009,2室1厅,55.75,6.0,2021-03-17
上海,松江,528.0,52387,3室1厅,100.79,14.0,2021-01-27
成都,成华,148.0,17174,3室2厅,86.18,21.0,2021-03-17
南京,雨花台,385.0,43376,2室1厅,88.76,34.0,2021-01-13
南京,秦淮,238.0,35000,3室1厅,68.0,7.0,2021-03-15
成都,天府新区,278.0,21077,3室2厅,131.9,34.0,2021-03-27
上海,浦东,265.0,27587,2室2厅,96.06,11.0,2021-03-10
成都,青羊,216.0,24300,3室1厅,88.89,22.0,2021-03-22
南京,秦淮,199.0,35403,3室1厅,56.21,7.0,2021-02-18
上海,长宁,265.0,52990,1室1厅,50.01,6.0,2021-04-01
南京,浦口,234.0,20348,3室2厅,115.0,11.0,2021-03-23
南京,江宁,166.0,18011,3室1厅,92.17,7.0,2021-03-26
成都,天府新区,235.0,22816,3室1厅,103.0,31.0,2020-10-24
成都,天府新区,269.0,20897,3室1厅,128.73,34.0,2021-02-19
上海,浦东,418.0,83036,2室0厅,50.34,5.0,2021-03-30
南京,江宁,275.0,27976,3室2厅,98.3,22.0,2020-04-04
上海,宝山,630.0,77721,3室2厅,81.06,18.0,2021-01-12
上海,嘉定,658.0,47792,3室2厅,137.68,11.0,2021-03-17
南京,浦口,220.0,28684,2室1厅,76.7,28.0,2021-02-17
成都,天府新区,283.0,16556,4室1厅,170.94,30.0,2021-04-03
成都,双流,127.0,17494,3室1厅,72.6,22.0,2021-03-31
南京,浦口,197.0,22751,3室2厅,86.59,11.0,2021-03-11
成都,青白江,61.8,6431,3室2厅,96.1,6.0,2021-03-26
上海,宝山,815.0,46697,3室2厅,174.53,4.0,2021-01-02
上海,普陀,1499.0,124275,2室2厅,120.62,33.0,2021-03-28
上海,奉贤,153.0,25336,2室1厅,60.39,5.0,2021-03-07
成都,成华,134.5,14407,2室1厅,93.36,22.0,2020-08-03
成都,天府新区,100.0,17419,1室1厅,57.41,18.0,2021-03-26
成都,金牛,82.0,12281,3室1厅,66.77,7.0,2021-03-26
成都,青羊,218.0,22596,3室1厅,96.48,8.0,2020-07-18
北京,西城,545.0,71438,2室1厅,76.29,6.0,2021-03-27
成都,双流,53.0,10372,1室1厅,51.1,17.0,2021-03-14
成都,武侯,192.0,21603,2室1厅,88.88,14.0,2020-10-01
上海,浦东,355.0,45772,2室1厅,77.56,14.0,2020-10-19
成都,金牛,155.0,16774,3室1厅,92.41,25.0,2020-07-20
南京,江宁,520.0,44624,3室1厅,116.53,34.0,2021-02-19
